,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도,브랜드명
293856,파리바게뜨중랑역점,음식,기타 간이,빵/도넛,서울특별시,중랑구,중화2동,중화동,서울특별시 중랑구 망우로 203,127.074921907571,37.593949565904,파리바게트
296170,파리바게뜨매봉역점,음식,기타 간이,빵/도넛,서울특별시,강남구,도곡2동,도곡동,서울특별시 강남구 남부순환로378길 8,127.045580920099,37.4857250848916,파리바게트
296398,파리바게트,음식,기타 간이,빵/도넛,서울특별시,은평구,진관동,진관동,서울특별시 은평구 진관4로 48-8,126.928195808865,37.6439499247014,파리바게트
296473,파리바게뜨난곡세이브점,음식,기타 간이,빵/도넛,서울특별시,관악구,미성동,신림동,서울특별시 관악구 난우길 16,126.918772816481,37.474450755445,파리바게트
296558,파리바게뜨정릉풍림점,음식,기타 간이,빵/도넛,서울특별시,성북구,정릉4동,정릉동,서울특별시 성북구 솔샘로25길 28,127.006946269606,37.618572202239,파리바게트
296722,파리바게뜨군자역점,음식,기타 간이,빵/도넛,서울특별시,광진구,군자동,군자동,서울특별시 광진구 능동로 297,127.078803748234,37.5564513153733,파리바게트
296951,파리바게뜨신길성애점,음식,기타 간이,빵/도넛,서울특별시,영등포구,신길1동,신길동,서울특별시 영등포구 영등포로84길 16,126.921694988076,37.5118349145632,파리바게트
297707,파리바게뜨신월7동점,음식,기타 간이,빵/도넛,서울특별시,양천구,신월7동,신월동,서울특별시 양천구 지양로 75,126.833317924241,37.5221678808718,파리바게트
298059,파리바게뜨도봉점,음식,기타 간이,빵/도넛,서울특별시,도봉구,도봉1동,도봉동,서울특별시 도봉구 도봉로 891,127.04572147564,37.6840188518174,파리바게트
298781,파리바게트동서울,음식,기타 간이,빵/도넛,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 강변역로4길 10,127.093388186348,37.5353444204635,파리바게트
299509,파리바게뜨건대동문회관점,음식,기타 간이,빵/도넛,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 아차산로36길 5,127.074624979128,37.5383345443223,파리바게트
300165,파리바게뜨충무로진,음식,기타 간이,빵/도넛,서울특별시,중구,광희동,충무로4가,서울특별시 중구 퇴계로 217,126.995909083531,37.5624161440179,파리바게트
303734,파리바게뜨서소문점,음식,기타 간이,빵/도넛,서울특별시,중구,소공동,서소문동,서울특별시 중구 서소문로 129,126.975210535252,37.5637880820868,파리바게트
304040,파리바게뜨천호,음식,기타 간이,빵/도넛,서울특별시,강동구,천호2동,천호동,서울특별시 강동구 올림픽로 665,127.123862108655,37.5409177009667,파리바게트
304202,파리바게뜨수유중앙,음식,기타 간이,빵/도넛,서울특별시,강북구,수유1동,수유동,서울특별시 강북구 삼양로 307,127.017579892126,37.6308432132406,파리바게트
309904,파리바게뜨제기동역점,음식,기타 간이,빵/도넛,서울특별시,동대문구,용신동,용두동,서울특별시 동대문구 왕산로 118,127.036321119687,37.5779805870512,파리바게트
310274,파리바게뜨방화점,음식,기타 간이,빵/도넛,서울특별시,강서구,방화1동,방화동,서울특별시 강서구 양천로 55,126.80982313533,37.5733012195025,파리바게트
311432,파리바게트강남,음식,기타 간이,빵/도넛,서울특별시,강남구,삼성2동,삼성동,서울특별시 강남구 봉은사로 478,127.052760619947,37.5126253472715,파리바게트
312261,파리바게트왕십리무학점,음식,기타 간이,빵/도넛,서울특별시,성동구,왕십리2동,하왕십리동,서울특별시 성동구 왕십리로 355,127.030471902112,37.5637051980965,파리바게트
313755,파리바게뜨신도림역점,음식,기타 간이,빵/도넛,서울특별시,구로구,신도림동,신도림동,서울특별시 구로구 경인로 661,126.886965798897,37.5090348833153,파리바게트
315500,파리바게뜨은평,음식,기타 간이,빵/도넛,서울특별시,은평구,응암1동,응암동,서울특별시 은평구 은평로 200-1,126.929976995826,37.6011221393223,파리바게트
319345,파리바게뜨송파,음식,기타 간이,빵/도넛,서울특별시,송파구,문정2동,문정동,서울특별시 송파구 새말로 62,127.121238155622,37.4809867596584,파리바게트
321504,파리바게뜨,음식,기타 간이,빵/도넛,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 광나루로 545,127.089848656981,37.5463460822299,파리바게트
323794,파리바게뜨역사점,음식,기타 간이,빵/도넛,서울특별시,중구,광희동,광희동1가,서울특별시 중구 마른내로 165,127.006395117257,37.56462231412,파리바게트
324468,파리바게트강북,음식,기타 간이,빵/도넛,서울특별시,강북구,수유3동,수유동,서울특별시 강북구 한천로 1039,127.026320124366,37.6399890830665,파리바게트
324519,파리바게뜨은평뉴타운2지구점,음식,기타 간이,빵/도넛,서울특별시,은평구,진관동,진관동,서울특별시 은평구 진관2로 77,126.926589335946,37.6343213622661,파리바게트
324682,파리바게트,음식,기타 간이,빵/도넛,서울특별시,중구,필동,필동3가,서울특별시 중구 서애로1길 2,126.998134613005,37.5610474438045,파리바게트
324796,파리바게뜨길음래미안점,음식,기타 간이,빵/도넛,서울특별시,성북구,길음1동,길음동,서울특별시 성북구 길음로 20,127.023019608341,37.6047492990606,파리바게트
326117,파리바게트카페약수점,음식,기타 간이,빵/도넛,서울특별시,중구,다산동,신당동,서울특별시 중구 동호로 195,127.009845798867,37.555343513813,파리바게트
326283,파리바게뜨카페신당,음식,기타 간이,빵/도넛,서울특별시,중구,동화동,신당동,서울특별시 중구 다산로36길 14,127.016009851974,37.5625493458475,파리바게트
326591,파리바게뜨충무로점,음식,기타 간이,빵/도넛,서울특별시,중구,필동,필동1가,서울특별시 중구 퇴계로 188,126.99253476878,37.5608285928248,파리바게트
326641,명동역남산파리바게뜨,음식,기타 간이,빵/도넛,서울특별시,중구,명동,남산동1가,서울특별시 중구 퇴계로 118,126.98485317736,37.5605465428244,파리바게트
326800,파리바게뜨,음식,기타 간이,빵/도넛,서울특별시,금천구,시흥1동,시흥동,서울특별시 금천구 시흥대로63길 91,126.894494625302,37.4556013846788,파리바게트
327066,파리바게트,음식,기타 간이,빵/도넛,서울특별시,서초구,잠원동,잠원동,서울특별시 서초구 잠원로14길 41,127.014363951587,37.5164830500084,파리바게트
327071,파리바게뜨중화역점,음식,기타 간이,빵/도넛,서울특별시,중랑구,중화2동,중화동,서울특별시 중랑구 동일로 795,127.079121954122,37.6013889898464,파리바게트
327179,파리바게트,음식,기타 간이,빵/도넛,서울특별시,강남구,개포2동,개포동,서울특별시 강남구 선릉로 50,127.059525073144,37.4837554609109,파리바게트
329100,파리바게뜨,음식,기타 간이,빵/도넛,서울특별시,용산구,한남동,한남동,서울특별시 용산구 대사관로 73,127.006131231319,37.5333537944131,파리바게트
330014,파리바게트녹번역점,음식,기타 간이,빵/도넛,서울특별시,은평구,녹번동,녹번동,서울특별시 은평구 은평로 237,126.93413303998,37.6011327167171,파리바게트
330348,파리바게뜨면목,음식,기타 간이,빵/도넛,서울특별시,중랑구,면목본동,면목동,서울특별시 중랑구 면목로 362,127.088595220042,37.5842165236905,파리바게트
330683,파리바게뜨,음식,기타 간이,빵/도넛,서울특별시,동대문구,이문1동,이문동,서울특별시 동대문구 천장산로7길 4,127.057525288259,37.598695583424,파리바게트
333634,파리바게뜨신설동역점,음식,기타 간이,빵/도넛,서울특별시,동대문구,용신동,신설동,서울특별시 동대문구 왕산로 10,127.024845929094,37.5758860333365,파리바게트
333934,파리바게뜨,음식,기타 간이,빵/도넛,서울특별시,동대문구,청량리동,청량리동,서울특별시 동대문구 왕산로 225,127.047126673875,37.5820329004573,파리바게트
333952,파리바게트동답한신,음식,기타 간이,빵/도넛,서울특별시,동대문구,장안1동,장안동,서울특별시 동대문구 한천로 86,127.064135857431,37.5690857915035,파리바게트
334389,파리바게뜨,음식,기타 간이,빵/도넛,서울특별시,동대문구,전농1동,전농동,서울특별시 동대문구 전농로 151,127.057000331014,37.5783728556122,파리바게트
334529,파리바게뜨우림,음식,기타 간이,빵/도넛,서울특별시,중랑구,망우3동,망우동,서울특별시 중랑구 용마산로 497,127.099669840881,37.5953843826897,파리바게트
334680,파리바게뜨망우금란점,음식,기타 간이,빵/도넛,서울특별시,중랑구,망우본동,망우동,서울특별시 중랑구 망우로 467,127.103862899592,37.6007865234303,파리바게트
334931,파리바게뜨용마산역점,음식,기타 간이,빵/도넛,서울특별시,중랑구,면목4동,면목동,서울특별시 중랑구 답십리로75길 73,127.080465622652,37.5768640077704,파리바게트
335419,파리바게뜨휘경주공점,음식,기타 간이,빵/도넛,서울특별시,동대문구,장안2동,장안동,서울특별시 동대문구 사가정로25길 58,127.071126480129,37.5813501831107,파리바게트
335630,파리바게트,음식,기타 간이,빵/도넛,서울특별시,동대문구,장안2동,장안동,서울특별시 동대문구 한천로 189,127.067862705243,37.5779635547069,파리바게트
335643,파리바게뜨휘경점,음식,기타 간이,빵/도넛,서울특별시,동대문구,휘경2동,휘경동,서울특별시 동대문구 망우로 74,127.061342797138,37.58958942943,파리바게트
336514,파리바게트봉화산역점,음식,기타 간이,빵/도넛,서울특별시,중랑구,신내2동,신내동,서울특별시 중랑구 신내로 211,127.092597215517,37.6164236455441,파리바게트
336611,파리바게뜨광운대역점,음식,기타 간이,빵/도넛,서울특별시,노원구,월계1동,월계동,서울특별시 노원구 석계로 95,127.061161442701,37.6229445354147,파리바게트
336859,파리바게뜨까페안암,음식,기타 간이,빵/도넛,서울특별시,동대문구,제기동,제기동,서울특별시 동대문구 안암로 80,127.030109406902,37.5829305019798,파리바게트
337614,파리바게뜨장위동방점,음식,기타 간이,빵/도넛,서울특별시,성북구,장위1동,장위동,서울특별시 성북구 장위로 39,127.041095851379,37.6143855025114,파리바게트
337700,파리바게뜨,음식,기타 간이,빵/도넛,서울특별시,은평구,녹번동,녹번동,서울특별시 은평구 진흥로 196,126.931230614428,37.6084859221453,파리바게트
337795,파리바게뜨구산역점,음식,기타 간이,빵/도넛,서울특별시,은평구,대조동,대조동,서울특별시 은평구 서오릉로 140,126.917518586606,37.6113613714909,파리바게트
338151,파리바게트당산,음식,기타 간이,빵/도넛,서울특별시,영등포구,영등포동,영등포동8가,서울특별시 영등포구 영중로 133,126.905335799042,37.5283086724525,파리바게트
338547,파리바게뜨압구정신구초교점,음식,기타 간이,빵/도넛,서울특별시,강남구,신사동,신사동,서울특별시 강남구 압구정로18길 31,127.025568044016,37.5230455687921,파리바게트
340629,파리바게뜨사당,음식,기타 간이,빵/도넛,서울특별시,동작구,사당2동,사당동,서울특별시 동작구 동작대로29길 80,126.977895547078,37.4889883824666,파리바게트
341036,파리바게뜨,음식,기타 간이,빵/도넛,서울특별시,양천구,신정2동,신정동,서울특별시 양천구 목동동로12길 54,126.877052629834,37.5221953697849,파리바게트
341084,파리바게뜨,음식,기타 간이,빵/도넛,서울특별시,성북구,종암동,종암동,서울특별시 성북구 종암로 96,127.034817928504,37.5988274323553,파리바게트
341671,파리바게뜨중곡역점,음식,기타 간이,빵/도넛,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 능동로 409,127.083796211331,37.5655997729823,파리바게트
341708,파리바게뜨왕십리민자역사점,음식,기타 간이,빵/도넛,서울특별시,성동구,행당1동,행당동,서울특별시 성동구 왕십리광장로 17,127.038379235542,37.5614361598608,파리바게트
341769,파리바게뜨광장,음식,기타 간이,빵/도넛,서울특별시,광진구,광장동,광장동,서울특별시 광진구 아차산로 537-17,127.099644411941,37.5429521266911,파리바게트
341911,파리바게뜨,음식,기타 간이,빵/도넛,서울특별시,광진구,군자동,군자동,서울특별시 광진구 능동로 209,127.073170747584,37.5516046351507,파리바게트
342210,파리바게뜨카페뚝섬유원지점,음식,기타 간이,빵/도넛,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 능동로 18,127.067860902597,37.5326767997548,파리바게트
342214,군자사랑파리바게트,음식,기타 간이,빵/도넛,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 천호대로 573,127.081813092887,37.5565558510547,파리바게트
342229,파리바게뜨,음식,기타 간이,빵/도넛,서울특별시,광진구,자양2동,자양동,서울특별시 광진구 뚝섬로 628,127.079217936015,37.5319819801278,파리바게트
342387,파리바게뜨마장대로점,음식,기타 간이,빵/도넛,서울특별시,성동구,마장동,마장동,서울특별시 성동구 고산자로 341-1,127.037360438254,37.5702400845474,파리바게트
342574,파리바게뜨답십리역점,음식,기타 간이,빵/도넛,서울특별시,성동구,용답동,용답동,서울특별시 성동구 천호대로 312,127.054543170401,37.5649726675631,파리바게트
343130,파리바게뜨중곡,음식,기타 간이,빵/도넛,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 용마산로 45,127.087686120544,37.5575745122963,파리바게트
343418,파리바게뜨건대역,음식,기타 간이,빵/도넛,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 아차산로30길 3,127.067899215598,37.5405072454665,파리바게트
343653,파리바게뜨까페옥수역점,음식,기타 간이,빵/도넛,서울특별시,성동구,옥수동,옥수동,서울특별시 성동구 한림말3길 2,127.016895258491,37.5416794779479,파리바게트
345725,파리바게트신금호역점,음식,기타 간이,빵/도넛,서울특별시,성동구,금호2.3가동,금호동2가,서울특별시 성동구 금호산길 65,127.019391095147,37.5541527024304,파리바게트
